Pfam_ID	Description
PF03147	Ferredoxin-fold anticodon binding domain
PF03151	Triose-phosphate Transporter family
PF03152	Ubiquitin fusion degradation protein UFD1
PF03154	Atrophin-1 family
PF03159	XRN 5'-3' exonuclease N-terminus
PF03160	Calx-beta domain
PF03165	MH1 domain
PF03166	MH2 domain
PF03171	2OG-Fe(II) oxygenase superfamily
PF03172	HSR domain
PF03176	MMPL family
PF03177	Non-repetitive/WGA-negative nucleoporin C-terminal
PF03180	NLPA lipoprotein
PF03184	DDE superfamily endonuclease
PF03193	RsgA GTPase
PF03194	LUC7 N_terminus
PF03208	PRA1 family protein
PF03212	Pertactin
PF03215	Rad17 P-loop domain
PF03221	Tc5 transposase DNA-binding domain
PF03222	Tryptophan/tyrosine permease family
PF03223	V-ATPase subunit C
PF03224	V-ATPase subunit H
PF03226	Yippee zinc-binding/DNA-binding /Mis18, centromere assembly
PF03227	Gamma interferon inducible lysosomal thiol reductase (GILT)
PF03232	Ubiquinone biosynthesis protein COQ7
PF03234	Cdc37 N terminal kinase binding
PF03235	Protein of unknown function DUF262
PF03239	Iron permease FTR1 family
PF03248	Rer1 family
PF03250	Tropomodulin
PF03253	Urea transporter
PF03255	Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit
PF03256	Anaphase-promoting complex, subunit 10 (APC10)
PF03259	Roadblock/LC7 domain
PF03266	NTPase
PF03271	EB1-like C-terminal motif
PF03272	Putative mucin or carbohydrate-binding module
PF03279	Bacterial lipid A biosynthesis acyltransferase
PF03285	Paralemmin
PF03288	Poxvirus D5 protein-like
PF03306	Alpha-acetolactate decarboxylase
PF03308	Methylmalonyl Co-A mutase-associated GTPase MeaB
PF03309	Type III pantothenate kinase
PF03313	Serine dehydratase alpha chain
PF03315	Serine dehydratase beta chain
PF03323	Bacillus/Clostridium GerA spore germination protein
PF03331	UDP-3-O-acyl N-acetylglycosamine deacetylase
PF03343	SART-1 family
PF03344	Daxx N-terminal Rassf1C-interacting domain
PF03345	Oligosaccharyltransferase 48 kDa subunit beta
PF03348	Serine incorporator (Serinc)
PF03349	Outer membrane protein transport protein (OMPP1/FadL/TodX)
PF03354	Phage Terminase
PF03357	Snf7
PF03358	NADPH-dependent FMN reductase
PF03359	Guanylate-kinase-associated protein (GKAP) protein
PF03364	Polyketide cyclase / dehydrase and lipid transport
PF03371	PRP38 family
PF03372	Endonuclease/Exonuclease/phosphatase family
PF03378	CAS/CSE protein, C-terminus
PF03381	LEM3 (ligand-effect modulator 3) family / CDC50 family
PF03388	Legume-like lectin family
PF03398	Regulator of Vps4 activity in the MVB pathway
PF03399	SAC3/GANP family
PF03403	Platelet-activating factor acetylhydrolase, isoform II
PF03412	Peptidase C39 family
PF03413	Peptidase propeptide and YPEB domain
PF03414	Glycosyltransferase family 6
PF03439	Early transcription elongation factor of RNA pol II, NGN section
PF03446	NAD binding domain of 6-phosphogluconate dehydrogenase
PF03447	Homoserine dehydrogenase, NAD binding domain
PF03448	MgtE intracellular N domain
PF03451	HELP motif
PF03453	MoeA N-terminal region (domain I and II)
PF03454	MoeA C-terminal region (domain IV)
PF03455	dDENN domain
PF03456	uDENN domain
PF03458	UPF0126 domain
PF03459	TOBE domain
PF03460	Nitrite/Sulfite reductase ferredoxin-like half domain
PF03461	TRCF domain
PF03462	PCRF domain
PF03466	LysR substrate binding domain
PF03467	Smg-4/UPF3 family
PF03471	Transporter associated domain
PF03473	MOSC domain
PF03476	MOSC N-terminal beta barrel domain
PF03477	ATP cone domain
PF03483	B3/4 domain
PF03484	tRNA synthetase B5 domain
PF03485	Arginyl tRNA synthetase N terminal domain
PF03486	HI0933-like protein
PF03489	Saposin-like type B, region 2
PF03495	Clostridial binary toxin B/anthrax toxin PA Ca-binding domain
PF03497	Anthrax toxin LF subunit
PF03501	Plectin/S10 domain
PF03517	Regulator of volume decrease after cellular swelling
PF03519	Invasion protein B family
PF03522	Solute carrier family 12
PF03527	RHS protein
PF03528	Rabaptin
PF03534	Salmonella virulence plasmid 65kDa B protein
PF03535	Paxillin family
PF03538	Salmonella virulence plasmid 28.1kDa A protein
PF03542	Tuberin
PF03547	Membrane transport protein
PF03551	Transcriptional regulator PadR-like family
PF03553	Na+/H+ antiporter family
PF03562	MltA specific insert domain
PF03567	Sulfotransferase family
PF03572	Peptidase family S41
PF03573	outer membrane porin, OprD family
PF03590	Aspartate-ammonia ligase
PF03600	Citrate transporter
PF03601	Conserved hypothetical protein 698
PF03602	Conserved hypothetical protein 95
PF03603	DNA polymerase III psi subunit
PF03606	C4-dicarboxylate anaerobic carrier
PF03609	PTS system sorbose-specific iic component
PF03610	PTS system fructose IIA component
PF03611	PTS system sugar-specific permease component
PF03613	PTS system mannose/fructose/sorbose family IID component
PF03614	Repressor of phase-1 flagellin
PF03623	Focal adhesion targeting region
PF03635	Vacuolar protein sorting-associated protein 35
PF03637	Mob1/phocein family
PF03644	Glycosyl hydrolase family 85
PF03645	Tctex-1 family
PF03647	Transmembrane proteins 14C
PF03652	Holliday junction resolvase
PF03661	Uncharacterised protein family (UPF0121)
PF03668	P-loop ATPase protein family
PF03670	Uncharacterised protein family (UPF0184)
PF03692	Putative zinc- or iron-chelating domain
PF03695	Uncharacterised protein family (UPF0149)
PF03700	Sorting nexin, N-terminal domain
PF03702	Anhydro-N-acetylmuramic acid kinase
PF03703	Bacterial PH domain
PF03709	Orn/Lys/Arg decarboxylase, N-terminal domain
PF03710	Glutamate-ammonia ligase adenylyltransferase
PF03711	Orn/Lys/Arg decarboxylase, C-terminal domain
PF03715	Noc2p family
PF03717	Penicillin-binding Protein dimerisation domain
PF03720	UDP-glucose/GDP-mannose dehydrogenase family, UDP binding domain
PF03721	UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain
PF03725	3' exoribonuclease family, domain 2
PF03726	Polyribonucleotide nucleotidyltransferase, RNA binding domain
PF03730	Ku70/Ku80 C-terminal arm
PF03731	Ku70/Ku80 N-terminal alpha/beta domain
PF03732	Retrotransposon gag protein
PF03734	L,D-transpeptidase catalytic domain
PF03737	Aldolase/RraA
PF03738	Glutathionylspermidine synthase preATP-grasp
PF03740	Pyridoxal phosphate biosynthesis protein PdxJ
PF03741	Integral membrane protein TerC family
PF03746	LamB/YcsF family
PF03764	Elongation factor G, domain IV
PF03772	Competence protein
PF03773	Predicted permease
PF03781	Sulfatase-modifying factor enzyme 1
PF03782	AMOP domain
PF03783	Curli production assembly/transport component CsgG
PF03786	D-mannonate dehydratase (UxuA)
PF03788	LrgA family
PF03792	PBC domain
PF03793	PASTA domain
PF03796	DnaB-like helicase C terminal domain
PF03797	Autotransporter beta-domain
PF03798	TLC domain
PF03803	Scramblase
PF03806	AbgT putative transporter family
PF03807	NADP oxidoreductase coenzyme F420-dependent
PF03810	Importin-beta N-terminal domain
PF03816	Cell envelope-related transcriptional attenuator domain
PF03819	MazG nucleotide pyrophosphohydrolase domain
PF03821	Golgi 4-transmembrane spanning transporter
PF03825	Nucleoside H+ symporter
PF03828	Cid1 family poly A polymerase
PF03830	PTS system sorbose subfamily IIB component
PF03832	WSK motif
PF03835	Rad4 transglutaminase-like domain
PF03836	RasGAP C-terminus
PF03840	Preprotein translocase SecG subunit
PF03841	L-seryl-tRNA selenium transferase
PF03845	Spore germination protein
PF03859	CG-1 domain
PF03865	Haemolysin secretion/activation protein ShlB/FhaC/HecB
PF03870	RNA polymerase Rpb8
PF03872	Anti sigma-E protein RseA, N-terminal domain
PF03873	Anti sigma-E protein RseA, C-terminal domain
PF03874	RNA polymerase Rpb4
PF03878	YIF1
PF03880	DbpA RNA binding domain
PF03881	Fructosamine kinase
PF03882	MukF winged-helix domain
PF03888	MucB/RseB N-terminal domain
PF03895	YadA-like membrane anchor domain
PF03900	Porphobilinogen deaminase, C-terminal domain
PF03901	Alg9-like mannosyltransferase family
PF03909	BSD domain
PF03911	Sec61beta family
PF03920	Groucho/TLE N-terminal Q-rich domain
PF03921	Intercellular adhesion molecule (ICAM), N-terminal domain
PF03931	Skp1 family, tetramerisation domain
PF03932	CutC family
PF03942	DTW domain
PF03943	TAP C-terminal domain
PF03949	Malic enzyme, NAD binding domain
PF03950	tRNA synthetases class I (E and Q), anti-codon binding domain
PF03951	Glutamine synthetase, beta-Grasp domain
PF03952	Enolase, N-terminal domain
PF03953	Tubulin C-terminal domain
PF03954	Hepatic lectin, N-terminal domain
PF03957	Jun-like transcription factor
PF03958	Bacterial type II/III secretion system short domain
PF03968	OstA-like protein
PF03969	AFG1-like ATPase
PF03971	Monomeric isocitrate dehydrogenase
PF03976	Polyphosphate kinase 2 (PPK2)
PF03979	Sigma-70 factor, region 1.1
PF03985	Paf1
PF03987	Autophagocytosis associated protein, active-site domain
PF03989	DNA gyrase C-terminal domain, beta-propeller
PF03992	Antibiotic biosynthesis monooxygenase
PF03998	Utp11 protein
PF04000	Sas10/Utp3/C1D family
PF04003	Dip2/Utp12 Family
PF04011	LemA family
PF04012	PspA/IM30 family
PF04014	Antidote-toxin recognition MazE, bacterial antitoxin
PF04023	FeoA domain
PF04024	PspC domain
PF04030	D-arabinono-1,4-lactone oxidase
PF04037	Domain of unknown function (DUF382)
PF04041	beta-1,4-mannooligosaccharide phosphorylase
PF04042	DNA polymerase alpha/epsilon subunit B
PF04045	Arp2/3 complex, 34 kD subunit p34-Arc
PF04046	PSP
PF04049	Anaphase promoting complex subunit 8 / Cdc23
PF04050	Up-frameshift suppressor 2
PF04052	TolB amino-terminal domain
PF04053	Coatomer WD associated region
PF04054	CCR4-Not complex component, Not1
PF04055	Radical SAM superfamily
PF04056	Ssl1-like
PF04057	Replication factor-A protein 1, N-terminal domain
PF04060	Putative Fe-S cluster
PF04062	ARP2/3 complex ARPC3 (21 kDa) subunit
PF04065	Not1 N-terminal domain, CCR4-Not complex component
PF04072	Leucine carboxyl methyltransferase
PF04073	Aminoacyl-tRNA editing domain
PF04074	YhcH/YjgK/YiaL
PF04081	DNA polymerase delta, subunit 4
PF04089	BRICHOS domain
PF04095	Nicotinate phosphoribosyltransferase (NAPRTase) family
PF04096	Nucleoporin autopeptidase
PF04099	Sybindin-like family
PF04100	Vps53-like, N-terminal
PF04101	Glycosyltransferase family 28 C-terminal domain
PF04103	CD20-like family
PF04110	Ubiquitin-like autophagy protein Apg12
PF04111	Apg6 BARA domain
PF04124	Dor1-like family
PF04127	DNA / pantothenate metabolism flavoprotein
PF04129	Vps52 / Sac2 family
PF04130	Gamma tubulin complex component C-terminal
PF04136	Sec34-like family
PF04137	Endoplasmic Reticulum Oxidoreductin 1 (ERO1)
PF04144	SCAMP family
PF04146	YT521-B-like domain
PF04151	Bacterial pre-peptidase C-terminal domain
PF04153	NOT2 / NOT3 / NOT5 family
PF04167	Protein of unknown function (DUF402)
PF04170	NlpE N-terminal domain
PF04176	TIP41-like family
PF04177	TAP42-like family
PF04178	Got1/Sft2-like family
PF04182	B-block binding subunit of TFIIIC
PF04183	IucA / IucC family
PF04185	Phosphoesterase family
PF04186	FxsA cytoplasmic membrane protein
PF04190	Protein of unknown function (DUF410)
PF04201	Tumour protein D52 family
PF04203	Sortase domain
PF04204	Homoserine O-succinyltransferase
PF04212	MIT (microtubule interacting and transport) domain
PF04218	CENP-B N-terminal DNA-binding domain
PF04228	Putative neutral zinc metallopeptidase
PF04234	CopC domain
PF04238	Protein of unknown function (DUF420)
PF04253	Transferrin receptor-like dimerisation domain
PF04257	Exodeoxyribonuclease V, gamma subunit
PF04258	Signal peptide peptidase
PF04260	Protein of unknown function (DUF436)
PF04261	Dyp-type peroxidase family
PF04266	ASCH domain
PF04268	Sarcosine oxidase, gamma subunit family
PF04272	Phospholamban
PF04280	Tim44-like domain
PF04285	Protein of unknown function (DUF444)
PF04293	SpoVR like protein
PF04295	D-galactarate dehydratase / Altronate hydrolase, C terminus
PF04310	MukB N-terminal
PF04315	Elongation factor P hydroxylase
PF04317	YcjX-like family, DUF463
PF04321	RmlD substrate binding domain
PF04324	BFD-like [2Fe-2S] binding domain
PF04326	Putative DNA-binding domain
PF04333	MlaA lipoprotein
PF04339	Peptidogalycan biosysnthesis/recognition
PF04344	Chemotaxis phosphatase, CheZ
PF04354	ZipA, C-terminal FtsZ-binding domain
PF04357	TamB, inner membrane protein subunit of TAM complex
PF04360	Serglycin
PF04363	Protein of unknown function (DUF496)
PF04371	Porphyromonas-type peptidyl-arginine deiminase
PF04375	HemX, putative uroporphyrinogen-III C-methyltransferase
PF04381	Putative exonuclease, RdgC
PF04382	SAB domain
PF04388	Hamartin protein
PF04389	Peptidase family M28
PF04390	Lipopolysaccharide-assembly
PF04392	ABC transporter substrate binding protein
PF04397	LytTr DNA-binding domain
PF04405	Domain of Unknown function (DUF542)
PF04408	Helicase associated domain (HA2)
PF04411	PD-(D/E)XK nuclease superfamily
PF04419	4F5 protein family
PF04421	Mss4 protein
PF04423	Rad50 zinc hook motif
PF04424	MINDY deubiquitinase
PF04427	Brix domain
PF04433	SWIRM domain
PF04434	SWIM zinc finger
PF04437	RINT-1 / TIP-1 family
PF04438	HIT zinc finger
PF04439	Streptomycin adenylyltransferase
PF04445	Putative SAM-dependent methyltransferase
PF04453	LPS transport system D
PF04456	Protein of unknown function (DUF503)
PF04461	Protein of unknown function (DUF520)
PF04463	Protein of unknown function (DUF523)
PF04487	CITED
PF04495	GRASP55/65 PDZ-like domain
PF04499	SIT4 phosphatase-associated protein
PF04503	Single-stranded DNA binding protein, SSDP
PF04505	Interferon-induced transmembrane protein
PF04513	Baculovirus polyhedron envelope protein, PEP, C terminus
PF04519	Polymer-forming cytoskeletal
PF04538	Brain expressed X-linked like family
PF04539	Sigma-70 region 3
PF04542	Sigma-70 region 2
PF04545	Sigma-70, region 4
PF04546	Sigma-70, non-essential region
PF04547	Calcium-activated chloride channel
PF04548	AIG1 family
PF04552	Sigma-54, DNA binding domain
PF04553	Tis11B like protein, N terminus
PF04557	Glutaminyl-tRNA synthetase, non-specific RNA binding region part 2
PF04558	Glutaminyl-tRNA synthetase, non-specific RNA binding region part 1
PF04560	RNA polymerase Rpb2, domain 7
PF04561	RNA polymerase Rpb2, domain 2
PF04563	RNA polymerase beta subunit
PF04564	U-box domain
PF04565	RNA polymerase Rpb2, domain 3
PF04568	Mitochondrial ATPase inhibitor, IATP
PF04571	lipin, N-terminal conserved region
PF04586	Caudovirus prohead serine protease
PF04587	ADP-specific Phosphofructokinase/Glucokinase conserved region
PF04588	Hypoxia induced protein conserved region
PF04592	Selenoprotein P, N terminal region
PF04593	Selenoprotein P, C terminal region
PF04597	Ribophorin I
PF04598	Gasdermin pore forming domain
PF04607	Region found in RelA / SpoT proteins
PF04628	Sedlin, N-terminal conserved region
PF04629	Islet cell autoantigen ICA69, C-terminal domain
PF04632	Fusaric acid resistance protein family
PF04641	Rtf2 RING-finger
PF04652	Vta1 like
PF04658	TAFII55 protein conserved region
PF04666	N-Acetylglucosaminyltransferase-IV (GnT-IV) conserved region
PF04670	Gtr1/RagA G protein conserved region
PF04678	Mitochondrial calcium uniporter
PF04685	Glycosyl-hydrolase family 116, catalytic region
PF04692	Platelet-derived growth factor, N terminal region
PF04695	Peroxisomal membrane anchor protein (Pex14p) conserved region
PF04696	pinin/SDK/memA/ protein conserved region
PF04697	pinin/SDK conserved region
PF04704	Zfx / Zfy transcription activation region
PF04707	PRELI-like family
PF04715	Anthranilate synthase component I, N terminal region
PF04719	hTAFII28-like protein conserved region
PF04727	ELMO/CED-12 family
PF04732	Intermediate filament head (DNA binding) region
PF04733	Coatomer epsilon subunit
PF04756	OST3 / OST6 family, transporter family
PF04757	Pex2 / Pex12 amino terminal region
PF04760	Translation initiation factor IF-2, N-terminal region
PF04774	Hyaluronan / mRNA binding family
PF04791	LMBR1-like membrane protein
PF04792	V antigen (LcrV) protein
PF04794	YdjC-like protein
PF04799	fzo-like conserved region
PF04802	Component of IIS longevity pathway SMK-1
PF04803	Cor1/Xlr/Xmr conserved region
PF04810	Sec23/Sec24 zinc finger
PF04811	Sec23/Sec24 trunk domain
PF04812	Hepatocyte nuclear factor 1 (HNF-1), beta isoform C terminus
PF04814	Hepatocyte nuclear factor 1 (HNF-1), N terminus
PF04815	Sec23/Sec24 helical domain
PF04818	RNA polymerase II-binding domain.
PF04820	Tryptophan halogenase
PF04822	Takusan
PF04824	Conserved region of Rad21 / Rec8 like protein
PF04825	N terminus of Rad21 / Rec8 like protein
PF04826	Armadillo-like
PF04829	Pre-toxin domain with VENN motif
PF04832	SOUL heme-binding protein
PF04840	Vps16, C-terminal region
PF04841	Vps16, N-terminal region
PF04849	HAP1 N-terminal conserved region
PF04851	Type III restriction enzyme, res subunit
PF04855	SNF5 / SMARCB1 / INI1
PF04857	CAF1 family ribonuclease
PF04860	Phage portal protein
PF04869	Uso1 / p115 like vesicle tethering protein, head region
PF04871	Uso1 / p115 like vesicle tethering protein, C terminal region
PF04879	Molybdopterin oxidoreductase Fe4S4 domain
PF04880	NUDE protein, C-terminal conserved region
PF04889	Cwf15/Cwc15 cell cycle control protein
PF04892	VanZ like family
PF04893	Yip1 domain
PF04898	Glutamate synthase central domain
PF04902	Conserved region in Nab1
PF04904	NAB conserved region 1 (NCD1)
PF04905	NAB conserved region 2 (NCD2)
PF04906	Tweety
PF04908	SH3-binding, glutamic acid-rich protein
PF04912	Dynamitin
PF04916	Phospholipase B
PF04923	Ninjurin
PF04926	Poly(A) polymerase predicted RNA binding domain
PF04928	Poly(A) polymerase central domain
PF04930	FUN14 family
PF04939	Ribosome biogenesis regulatory protein (RRS1)
PF04945	YHS domain
PF04950	40S ribosome biogenesis protein Tsr1 and BMS1 C-terminal
PF04952	Succinylglutamate desuccinylase / Aspartoacylase family
PF04959	Arsenite-resistance protein 2
PF04960	Glutaminase
PF04963	Sigma-54 factor, core binding domain
PF04967	HTH DNA binding domain
PF04969	CS domain
PF04976	DMSO reductase anchor subunit (DmsC)
PF04977	Septum formation initiator
PF04978	Protein of unknown function (DUF664)
PF04983	RNA polymerase Rpb1, domain 3
PF04988	A-kinase anchoring protein 95 (AKAP95)
PF04990	RNA polymerase Rpb1, domain 7
PF04992	RNA polymerase Rpb1, domain 6
PF04997	RNA polymerase Rpb1, domain 1
PF04998	RNA polymerase Rpb1, domain 5
PF05000	RNA polymerase Rpb1, domain 4
PF05001	RNA polymerase Rpb1 C-terminal repeat
PF05002	SGS domain
PF05004	Interferon-related developmental regulator (IFRD)
PF05010	Transforming acidic coiled-coil-containing protein (TACC), C-terminal
PF05011	Lariat debranching enzyme, C-terminal domain
PF05024	N-acetylglucosaminyl transferase component (Gpi1)
PF05025	RbsD / FucU transport protein family
PF05031	Iron Transport-associated domain
PF05033	Pre-SET motif
PF05041	Pecanex protein (C-terminus)
PF05043	Mga helix-turn-helix domain
PF05048	Periplasmic copper-binding protein (NosD)
PF05064	Nsp1-like C-terminal region
PF05065	Phage capsid family
PF05066	HB1, ASXL, restriction endonuclease HTH domain
PF05067	Manganese containing catalase
PF05068	Mannitol repressor
PF05091	Eukaryotic translation initiation factor 3 subunit 7 (eIF-3)
PF05093	Cytokine-induced anti-apoptosis inhibitor 1, Fe-S biogenesis
PF05096	Glutamine cyclotransferase
PF05099	Tellurite resistance protein TerB
PF05103	DivIVA protein
PF05105	Bacteriophage holin family
PF05110	AF-4 proto-oncoprotein
PF05116	Sucrose-6F-phosphate phosphohydrolase
PF05127	Helicase
PF05128	Domain of unknown function (DUF697)
PF05131	Pep3/Vps18/deep orange family
PF05157	Type II secretion system (T2SS), protein E, N-terminal domain
PF05163	DinB family
PF05170	AsmA family
PF05171	Haemin-degrading HemS.ChuX domain
PF05173	Dihydrodipicolinate reductase, C-terminus
PF05175	Methyltransferase small domain
PF05177	RCSD region
PF05178	KRI1-like family
PF05179	RNA pol II accessory factor, Cdc73 family, C-terminal
PF05182	Fip1 motif
PF05184	Saposin-like type B, region 1
PF05186	Dpy-30 motif
PF05187	Electron transfer flavoprotein-ubiquinone oxidoreductase, 4Fe-4S
PF05188	MutS domain II
PF05190	MutS family domain IV
PF05191	Adenylate kinase, active site lid
PF05192	MutS domain III
PF05193	Peptidase M16 inactive domain
PF05195	Aminopeptidase P, N-terminal domain
PF05196	PTN/MK heparin-binding protein family, N-terminal domain
PF05198	Translation initiation factor IF-3, N-terminal domain
PF05201	Glutamyl-tRNAGlu reductase, N-terminal domain
PF05208	ALG3 protein
PF05219	DREV methyltransferase
PF05221	S-adenosyl-L-homocysteine hydrolase
PF05222	Alanine dehydrogenase/PNT, N-terminal domain
PF05228	CHASE4 domain
PF05232	Chlorhexidine efflux transporter
PF05236	Transcription initiation factor TFIID component TAF4 family
PF05240	APOBEC-like C-terminal domain
PF05253	U11-48K-like CHHC zinc finger
PF05254	Uncharacterised protein family (UPF0203)
PF05255	Uncharacterised protein family (UPF0220)
PF05280	Flagellar transcriptional activator (FlhC)
PF05283	Multi-glycosylated core protein 24 (MGC-24), sialomucin
PF05285	SDA1
PF05296	Taste receptor protein (TAS2R)
PF05300	Protein of unknown function (DUF737)
PF05308	Mitochondrial fission regulator
PF05327	RNA polymerase I specific transcription initiation factor RRN3
PF05336	L-rhamnose mutarotase
PF05337	Macrophage colony stimulating factor-1 (CSF-1)
PF05343	M42 glutamyl aminopeptidase
PF05348	Proteasome maturation factor UMP1
PF05349	GATA-type transcription activator, N-terminal
PF05362	Lon protease (S16) C-terminal proteolytic domain
PF05368	NmrA-like family
PF05383	La domain
PF05391	Lsm interaction motif
PF05399	Ectropic viral integration site 2A protein (EVI2A)
PF05401	Nodulation protein S (NodS)
PF05406	WGR domain
PF05422	Stress-activated map kinase interacting protein 1 (SIN1)
PF05426	Alginate lyase
PF05430	S-adenosyl-L-methionine-dependent methyltransferase
PF05433	Glycine zipper 2TM domain
PF05439	Jumping translocation breakpoint protein (JTB)
PF05448	Acetyl xylan esterase (AXE1)
PF05454	Dystroglycan (Dystrophin-associated glycoprotein 1)
PF05456	Eukaryotic translation initiation factor 4E binding protein (EIF4EBP)
PF05458	Cd27 binding protein (Siva)
PF05461	Apolipoprotein L
PF05470	Eukaryotic translation initiation factor 3 subunit 8 N-terminus
PF05473	UL45 protein, carbohydrate-binding C-type lectin-like
PF05485	THAP domain
PF05486	Signal recognition particle 9 kDa protein (SRP9)
PF05488	PAAR motif
PF05491	RuvB C-terminal winged helix domain
PF05494	MlaC protein
PF05496	Holliday junction DNA helicase RuvB P-loop domain
PF05504	Spore germination B3/ GerAC like, C-terminal
PF05524	PEP-utilising enzyme, N-terminal
PF05525	Branched-chain amino acid transport protein
PF05529	Bap31/Bap29 transmembrane region
PF05544	Proline racemase
PF05547	Immune inhibitor A peptidase M6
PF05552	Conserved TM helix
PF05556	Calcineurin-binding protein (Calsarcin)
PF05577	Serine carboxypeptidase S28
PF05586	Anthrax receptor C-terminus region
PF05587	Anthrax receptor extracellular domain
PF05591	Type VI secretion system, VipA, VC_A0107 or Hcp2
PF05593	RHS Repeat
PF05594	Haemagluttinin repeat
PF05600	CDK5 regulatory subunit-associated protein 3
PF05602	Cleft lip and palate transmembrane protein 1 (CLPTM1)
PF05604	Protein of unknown function (DUF776)
PF05605	Drought induced 19 protein (Di19), zinc-binding
PF05621	Bacterial TniB protein
PF05622	HOOK protein
PF05638	Type VI secretion system effector, Hcp
PF05641	Agenet domain
PF05649	Peptidase family M13
PF05651	Putative sugar diacid recognition
PF05658	Head domain of trimeric autotransporter adhesin
PF05662	Coiled stalk of trimeric autotransporter adhesin
PF05673	Protein of unknown function (DUF815)
PF05679	Chondroitin N-acetylgalactosaminyltransferase
PF05681	Fumarate hydratase (Fumerase)
PF05683	Fumarase C-terminus
PF05686	Glycosyl transferase family 90
PF05690	Thiazole biosynthesis protein ThiG
PF05697	Bacterial trigger factor protein (TF)
PF05698	Bacterial trigger factor protein (TF) C-terminus
PF05699	hAT family C-terminal dimerisation region
PF05708	Permuted papain-like amidase enzyme, YaeF/YiiX, C92 family
PF05712	MRG
PF05729	NACHT domain
PF05737	Collagen binding domain
PF05739	SNARE domain
PF05743	UEV domain
PF05746	DALR anticodon binding domain
PF05753	Translocon-associated protein beta (TRAPB)
PF05760	Immediate early response protein (IER)
PF05761	5' nucleotidase family
PF05766	Bacteriophage Lambda NinG protein
PF05769	SIKE family
PF05773	RWD domain
PF05781	MRVI1 protein
PF05782	Extracellular matrix protein 1 (ECM1)
PF05783	Dynein light intermediate chain (DLIC)
PF05790	Immunoglobulin C2-set domain
PF05804	Kinesin-associated protein (KAP)
PF05805	L6 membrane protein
PF05816	Toxic anion resistance protein (TelA)
PF05827	Vacuolar ATP synthase subunit S1 (ATP6S1)
PF05842	Euplotes octocarinatus mating pheromone protein
PF05843	Suppressor of forked protein (Suf)
PF05844	YopD protein
PF05856	ARP2/3 complex 20 kDa subunit (ARPC4)
PF05860	haemagglutination activity domain
PF05861	Bacterial phosphonate metabolism protein (PhnI)
PF05871	ESCRT-II complex subunit
PF05872	Bacterial protein of unknown function (DUF853)
PF05889	O-phosphoseryl-tRNA(Sec) selenium transferase, SepSecS
PF05896	Na(+)-translocating NADH-quinone reductase subunit A (NQRA)
PF05902	4.1 protein C-terminal domain (CTD)
PF05903	PPPDE putative peptidase domain
PF05915	Eukaryotic protein of unknown function (DUF872)
PF05916	GINS complex protein
PF05920	Homeobox KN domain
PF05922	Peptidase inhibitor I9
PF05932	Tir chaperone protein (CesT) family
PF05934	Mid-1-related chloride channel (MCLC)
PF05936	Bacterial Type VI secretion, VC_A0110, EvfL, ImpJ, VasE
PF05943	Type VI secretion protein, EvpB/VC_A0108, tail sheath
PF05947	Type VI secretion system, TssF
PF05954	Phage late control gene D protein (GPD)
PF05958	tRNA (Uracil-5-)-methyltransferase
PF05964	F/Y-rich N-terminus
PF05965	F/Y rich C-terminus
PF05970	PIF1-like helicase
PF05971	RNA methyltransferase
PF05973	Phage derived protein Gp49-like (DUF891)
PF05977	Transmembrane secretion effector
PF05986	ADAM-TS Spacer 1
PF05994	Cytoplasmic Fragile-X interacting family
PF06001	Domain of Unknown Function (DUF902)
PF06008	Laminin Domain I
PF06009	Laminin Domain II
PF06013	Proteins of 100 residues with WXG
PF06017	Unconventional myosin tail, actin- and lipid-binding
PF06026	Ribose 5-phosphate isomerase A (phosphoriboisomerase A)
PF06031	SERTA motif
PF06046	Exocyst complex component Sec6
PF06054	Competence protein CoiA-like family
PF06068	TIP49 P-loop domain
PF06071	Protein of unknown function (DUF933)
PF06080	Protein of unknown function (DUF938)
PF06081	Aromatic acid exporter family member 1
PF06097	Bacterial protein of unknown function (DUF945)
PF06103	Bacterial protein of unknown function (DUF948)
PF06119	Nidogen-like
PF06123	Inner membrane protein CreD
PF06140	Interferon-induced 6-16 family
PF06144	DNA polymerase III, delta subunit
PF06148	COG (conserved oligomeric Golgi) complex component, COG2
PF06159	Protein of unknown function (DUF974)
PF06160	Septation ring formation regulator, EzrA
PF06167	Glucose-regulated metallo-peptidase M90
PF06188	HrpE/YscL/FliH and V-type ATPase subunit E
PF06196	Protein of unknown function (DUF997)
PF06201	PITH domain
PF06220	U1 zinc finger
PF06221	Putative zinc finger motif, C2HC5-type
PF06228	Haem utilisation ChuX/HutX
PF06245	Protein of unknown function (DUF1015)
PF06247	Pvs28 EGF domain
PF06248	Centromere/kinetochore Zw10
PF06268	Fascin domain
PF06271	RDD family
PF06276	Ferric iron reductase FhuF-like transporter
PF06277	Ethanolamine utilisation protein EutA
PF06292	Domain of Unknown Function (DUF1041)
PF06293	Lipopolysaccharide kinase (Kdo/WaaP) family
PF06297	PET Domain
PF06311	NUMB domain
PF06316	Enterobacterial Ail/Lom protein
PF06325	Ribosomal protein L11 methyltransferase (PrmA)
PF06327	Domain of Unknown Function (DUF1053)
PF06328	Ig-like C2-type domain
PF06345	DRF Autoregulatory Domain
PF06365	CD34/Podocalyxin family
